UniqueCount	AmbigCount
0	311
0	311
260	655
0	0
44	82
25	251
103	243
0	1276
11	1068
4	1377
14	584
0	584
329	260
123	82
0	254
0	254
0	252
0	254
1	29
3	0
0	1
0	31
24	549
2	21
0	21
0	8
235	1134
28	283
211	110
215	1215
229	123
0	1555
0	1560
65	1522
0	3
0	50
0	4
0	5
8	46
9	0
0	0
3	1221
13	421
0	6
127	0
0	659
0	641
0	648
0	650
0	639
13	0
0	0
0	70
0	70
0	70
0	67
0	62
0	0
0	651
0	586
0	603
0	5
14	5
276	0
0	2
0	2
0	2
72	62
0	3
0	3
96	0
0	0
0	126
0	133
0	126
0	114
2	119
0	6
0	6
18	0
2	0
260	0
59	0
342	0
343	0
59	0
4	0
5	31
0	6
0	0
0	6
2	509
0	509
14	0
0	151
15	151
0	11
11	44
0	3259
0	3259
0	3273
0	3268
0	0
1	0
0	0
4	78
0	78
0	78
1	0
0	129
0	129
0	129
0	129
1	129
0	128
0	134
0	128
0	128
0	122
0	111
0	107
0	98
0	93
1	93
0	109
312	2
0	0
0	0
0	5
0	5
0	5
0	4
0	4
0	5
0	5
0	5
0	694
20	694
1	0
0	572
0	552
0	575
0	555
0	569
0	0
0	109
0	112
0	101
0	107
0	104
0	110
17	0
963	1211
3	1211
24	198
0	119
0	1
44	139
0	0
0	0
3	8
0	157
0	151
0	136
0	157
16	0
11	4
3	21
2	4
3	17
0	0
0	0
0	1
2	4
1	0
30	0
199	0
0	352
0	352
0	51
0	51
0	49
0	49
213	0
34	1689
0	1323
0	1265
15	0
742	0
24	2321
0	2321
1159	0
13	292
2	292
48	7
0	231
0	230
8	7
20	0
0	220
0	0
6	1404
480	35
0	0
0	116
0	122
0	96
0	99
0	71
0	91
3	681
0	681
0	674
0	0
0	0
0	0
9	2
0	825
10	825
0	823
0	58
3	58
901	0
0	51
0	53
0	53
417	19
20	629
24	317
0	629
0	2
5680	0
9	2855
1	2656
0	2580
788	0
156	0
0	0
0	0
7	0
0	122
0	77
0	114
0	84
0	76
0	85
0	0
203	2336
4	0
24	50
116	135
1	1
0	1
51	143
44	143
8	0
0	0
159	0
0	2
0	2
4	5133
0	5103
0	4757
0	220
0	205
0	206
0	198
0	209
0	194
0	183
0	205
0	191
0	108
0	108
31	0
0	159
0	157
1	94
2	139
0	130
0	1070
0	1086
0	1086
0	0
2	7
0	1
0	1
0	1
0	1
0	0
11	0
0	0
64	0
0	0
17	1205
0	1205
0	222
0	214
0	202
0	326
0	320
0	328
0	328
49	27
16	118
1	0
9	4290
10	4290
198	55
183	0
3	5
132	926
0	926
3	4
0	399
0	398
0	353
0	353
0	352
244	0
38	0
0	0
14	169
4	169
6	82
0	82
0	0
0	0
0	259
0	0
0	0
0	0
0	0
0	17
0	9
0	9
1	21
0	0
0	2
0	0
0	458
0	449
0	451
0	454
0	443
0	445
0	452
0	0
0	0
4	9
0	9
5	1
0	3
27	486
2	410
3	441
43	0
40	2119
0	2119
4	0
0	667
0	663
0	632
0	628
1	0
103	153
50	4803
2	4803
4	0
0	0
0	34
129	0
510	825
133	340
165	245
0	199
0	209
1	199
0	209
0	0
0	0
0	177
0	177
8	4
0	1528
0	1473
0	1379
0	1505
42	87
0	350
0	350
0	350
440	1578
17	14
1	6
615	0
1	144
0	126
0	84
1	98
0	94
0	122
0	0
498	4
435	0
0	593
0	560
0	587
0	554
2115	0
455	0
0	121
0	119
0	121
24	89
0	0
0	7
60	100
0	19
0	0
0	0
0	0
0	0
0	14
0	14
0	14
0	177
2	219
0	198
2	0
0	133
3	133
0	123
0	120
0	124
0	123
0	86
1	119
0	124
0	125
0	87
0	124
122	645
0	645
416	0
2	36
432	1
0	392
0	392
0	378
0	208
0	208
0	18
0	0
32	1
0	0
83	91
0	92
0	92
0	80
0	89
0	77
0	80
0	77
0	39
13	16
0	16
2971	0
0	178
0	153
0	153
2	116
0	166
0	0
0	480
0	480
0	479
0	476
