UniqueCount	AmbigCount
0	73
0	73
67	147
0	0
14	28
8	66
38	78
0	519
3	466
3	539
15	535
0	535
198	183
49	75
0	252
0	251
0	251
0	251
0	0
0	0
1	0
0	0
10	175
3	27
0	27
0	4
16	138
1	11
31	32
20	108
38	30
0	163
0	174
0	171
0	1
2	135
0	3
0	3
12	98
15	0
0	0
0	2732
6	247
0	13
31	0
4	770
0	747
0	755
0	745
0	730
3	0
0	0
0	21
0	21
0	21
0	21
0	20
0	0
0	611
0	563
0	549
0	20
18	20
365	0
0	1
0	1
0	0
47	57
0	0
0	0
93	0
0	0
0	291
0	302
0	298
0	268
0	251
0	0
0	0
5	0
0	0
235	1
27	0
255	0
193	0
116	0
2	0
4	25
0	0
0	0
0	0
0	739
0	739
22	0
0	283
19	283
0	7
53	77
0	2430
0	2430
0	2439
0	2429
0	0
0	0
0	0
1	74
0	74
0	74
4	0
0	80
0	80
0	80
0	80
1	80
0	80
0	141
0	135
0	125
0	119
0	110
1	101
0	93
0	87
2	88
10	108
168	1
0	1
4	1
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	435
19	435
1	0
0	701
0	695
0	709
0	703
0	705
0	0
0	98
0	99
0	80
0	92
0	81
0	93
0	0
658	800
0	800
5	25
0	9
2	0
18	18
0	0
0	0
67	1
0	100
0	88
0	86
0	100
0	0
1	0
1	4
0	0
0	2
0	0
0	0
0	0
0	2
4	0
17	3
106	3
0	326
0	326
0	50
0	46
0	44
0	48
170	0
20	1375
0	1252
0	1130
14	0
634	0
34	1968
4	1968
873	0
3	191
2	187
8	0
0	168
1	164
1	0
7	0
0	232
0	0
6	1363
274	10
2	0
0	113
0	128
0	94
0	106
0	72
0	91
5	1357
0	1357
0	1337
0	0
0	0
0	0
13	6
0	786
14	784
2	777
0	107
20	107
647	0
0	26
0	27
0	27
243	12
49	771
23	389
0	771
0	1
4138	0
0	2386
1	2247
0	1918
675	0
123	0
0	0
0	0
9	0
0	111
0	87
0	111
0	84
0	84
0	87
0	0
367	2552
3	0
27	67
86	102
8	12
0	12
71	150
55	150
9	0
0	0
100	0
0	7
0	7
3	5690
0	5644
0	5212
1	196
0	191
0	192
0	187
0	192
0	174
0	169
0	178
0	174
0	50
0	50
34	0
0	102
0	100
1	65
0	94
0	87
0	1025
1	1060
0	1060
0	0
1	4
0	0
0	0
0	0
0	0
0	0
7	0
0	0
21	0
0	0
5	242
0	242
0	127
0	127
0	125
0	230
0	233
0	233
4	233
37	56
8	85
0	0
5	4619
5	4619
148	34
220	0
14	1
94	792
0	792
3	26
0	430
0	419
0	380
0	380
0	369
317	0
40	1
0	0
8	174
1	174
5	44
0	44
0	0
0	0
0	54
0	0
0	0
0	0
0	0
0	9
0	23
0	23
8	38
0	0
0	1
0	0
1	397
0	373
0	378
0	397
0	366
0	371
0	390
0	0
0	0
2	1
0	1
3	4
0	1
26	296
3	251
2	271
83	0
21	1619
0	1619
12	0
0	168
0	168
0	161
0	161
1	2
168	158
56	2057
2	2057
0	0
0	0
0	22
25	3
956	999
88	280
58	49
0	215
0	224
2	215
0	222
0	0
2	0
0	175
0	175
17	14
0	876
0	835
0	818
0	845
36	152
0	244
0	244
0	244
484	748
14	18
2	8
186	0
1	86
0	80
0	49
1	54
0	52
0	79
0	0
398	4
290	0
0	495
0	477
0	486
0	468
1856	0
443	0
0	102
0	98
0	102
31	57
0	0
0	0
35	47
2	10
0	0
0	0
0	0
0	0
0	5
1	5
0	5
0	229
1	345
0	299
11	0
0	184
0	184
0	48
0	49
0	50
0	49
0	30
0	49
0	49
0	51
0	31
0	50
67	433
0	433
412	0
3	64
237	7
0	424
0	424
0	410
0	254
0	254
0	15
0	0
13	7
0	0
44	108
0	58
4	57
0	50
0	54
0	46
0	53
0	49
0	26
12	27
1	27
3347	0
0	221
0	193
0	193
0	140
1	202
0	0
0	761
0	769
0	761
0	756
0	769
0	756
408	572
0	12
0	12
2	1
4	8
163	0
4	4
9	610
123	610
106	0
157	0
0	0
2121	0
60	0
2	0
10	0
35	37
0	37
2	431
0	431
4	78
0	77
1	72
0	0
10	36
0	2
7	0
41	0
1	78
28	78
0	78
0	0
36	1736
0	1736
0	0
9	3
0	0
4	229
0	339
0	287
1	290
1019	0
12	0
48	79
3	79
0	240
0	237
0	231
0	228
0	239
0	236
135	0
0	220
2	114
3	41
8	147
134	90
0	1
0	1
0	0
0	0
485	0
1477	148
0	0
