"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prupe.1G001800.v2.1",236.901558006883,-0.98825107213531,0.175664358001627,-5.62579161406298,1.84659160688349e-08,3.2154617413789e-07
"Prupe.1G002300.v2.1",326.673316752859,-0.414774229696175,0.13702304112623,-3.02704002397722,0.00246961256505819,0.0100174341594681
"Prupe.1G002400.v2.1",300.646669067775,-0.445835855617333,0.108033487725886,-4.12683016166761,3.67797817771807e-05,0.000270132925928371
"Prupe.1G002500.v2.1",1645.50400772509,-0.812528286865487,0.284706911983338,-2.8539113476565,0.00431845803597845,0.0157832155104889
"Prupe.1G002800.v2.1",1054.42886739019,0.516840208297722,0.170618214353912,3.02922059203858,0.0024518558388541,0.0099579149791421
"Prupe.1G002900.v2.1",728.051116379017,1.05149344564341,0.307698016192474,3.4172902986338,0.000632477984462761,0.00315945158092257
"Prupe.1G003100.v2.1",1429.9862144398,-0.623382865759886,0.171085834245312,-3.6436848702859,0.000268762450433389,0.00151818662899134
"Prupe.1G004000.v2.1",144.402217234397,-0.719747484661911,0.141063868638182,-5.10228091438501,3.35584128278107e-07,4.38174661725603e-06
"Prupe.1G004100.v2.1",13.1279623853986,1.33632903551865,0.378587319122271,3.52977759164475,0.000415909138325461,0.00221006326159848
"Prupe.1G004600.v2.1",31.2781716530735,-0.837004859775534,0.263672416946544,-3.17441190651817,0.00150140458172176,0.00660010333808797
"Prupe.1G004800.v2.1",1949.17372708443,-1.26224256128494,0.158335356212985,-7.97195643143046,1.56181871195426e-15,8.88542629644877e-14
"Prupe.1G005300.v2.1",44.7565147312364,-0.590313478165751,0.196249356881329,-3.00797662497671,0.00262993365618581,0.0105673997152982
"Prupe.1G005600.v2.1",557.10959708575,-1.34516250894814,0.382497701445304,-3.51678586267398,0.000436806022175341,0.00230685498695498
"Prupe.1G005900.v2.1",19.754103876479,-1.04284653909401,0.39982940277543,-2.60822873919491,0.00910121144774457,0.0290949237674665
"Prupe.1G006100.v2.1",269.063799433798,-0.381687584289614,0.147951854486137,-2.57980939553128,0.0098854860919679,0.0311255312456471
"Prupe.1G006400.v2.1",299.981864646297,0.485937316923181,0.173293762110567,2.80412468980353,0.00504533889721181,0.0179131604729305
"Prupe.1G006600.v2.1",18.3844409059015,1.80201031129922,0.358010696109503,5.03339797073561,4.81861328200344e-07,6.03871087584405e-06
"Prupe.1G006700.v2.1",3911.06823052159,-0.35598100838486,0.100940253961165,-3.52665061177495,0.000420851725223549,0.00223356770753515
"Prupe.1G007100.v2.1",157.619992221784,-0.749052306223737,0.122566777589015,-6.11138124831366,9.87724867496047e-10,2.23119992389732e-08
"Prupe.1G007200.v2.1",96.7113195932351,-0.441916538669743,0.150344256304985,-2.93936429319442,0.00328886260816454,0.0126682769816548
"Prupe.1G008000.v2.1",491.439588141562,-0.348192824230347,0.118550091205052,-2.93709452848998,0.00331303100106956,0.012742714643291
"Prupe.1G008100.v2.1",21.8461939528203,-1.08793168884347,0.291948611886817,-3.72644926041039,0.000194196142555817,0.001144474663103
"Prupe.1G008200.v2.1",44.509769884071,-0.825605990071206,0.208599186689773,-3.95785814495549,7.56248456801228e-05,0.000506955207715412
"Prupe.1G008500.v2.1",1314.02753410371,0.684657096839995,0.171201885926592,3.99912123125537,6.35781091529328e-05,0.000434460513928764
"Prupe.1G008900.v2.1",3.42438159767817,3.0207391568553,0.979458777468529,3.08409013870148,0.00204175723862259,0.00853410873014163
"Prupe.1G010600.v2.1",174.521600731124,-0.361273995261713,0.138340115459394,-2.6114912081865,0.00901483057849426,0.028878881512069
"Prupe.1G011400.v2.1",592.965490741367,1.21590300290943,0.203206738949933,5.98357618055675,2.18290867776541e-09,4.62953166818e-08
"Prupe.1G011500.v2.1",1247.23532259903,0.568608378419637,0.194744955021628,2.91975922229404,0.00350301921553782,0.0133284551008742
"Prupe.1G011800.v2.1",357.096672902204,-0.383321775457806,0.129563673972784,-2.95855901352664,0.00309081055031567,0.0120391017722403
"Prupe.1G012200.v2.1",1212.04912605718,-2.67740732051104,0.332278970495045,-8.05770920898821,7.77374749354612e-16,4.63087090993654e-14
"Prupe.1G012800.v2.1",28.1447876275595,1.07109405274055,0.350836232746509,3.05297444438826,0.00226585233792923,0.00930617924506646
"Prupe.1G012900.v2.1",29.3916531376218,-4.12338932718692,0.687437130075384,-5.99820572207782,1.995096710896e-09,4.25640424283913e-08
"Prupe.1G013000.v2.1",455.355675483838,-0.583083546568681,0.121553309551438,-4.79693682319637,1.6111038737519e-06,1.73929662675876e-05
"Prupe.1G013100.v2.1",349.033126441076,-0.581056832433002,0.222884648340856,-2.60698454002267,0.00913434843819778,0.0291733401085386
"Prupe.1G015500.v2.1",456.961053658741,-0.453444971956774,0.110059717360779,-4.11999033643134,3.78888289677704e-05,0.000277331268533663
"Prupe.1G015700.v2.1",41.7674727818329,0.858395988895351,0.280017042749216,3.06551337185621,0.002172966606522,0.00898831281582954
"Prupe.1G015800.v2.1",82.5931841603389,2.77479716246107,0.29092398731915,9.53787684553168,1.4578630613385e-21,1.61604871825178e-19
"Prupe.1G016000.v2.1",1735.56042572305,0.824590295803723,0.303712421374156,2.71503645479115,0.00662684753471333,0.0224673429345752
"Prupe.1G016400.v2.1",106.554082769813,2.96843415245958,0.340359979771909,8.72145472111284,2.74650065825753e-18,2.24576032911894e-16
"Prupe.1G016500.v2.1",58.2502816080482,2.79480071081176,0.586099779623989,4.76847255019403,1.85627959422457e-06,1.96356579802259e-05
"Prupe.1G016600.v2.1",157.737023262296,0.898301580951488,0.323470095280039,2.77707767753244,0.00548500688160432,0.0191984168276206
"Prupe.1G016700.v2.1",18.4031529531337,2.16582512442556,0.719513357712258,3.01012497017699,0.00261140219308705,0.0105027499836052
"Prupe.1G017200.v2.1",2.11161078339812,4.06235957207321,1.34231765281867,3.02637722415619,0.00247503312578243,0.010034990077291
"Prupe.1G017300.v2.1",501.547346483177,0.67801363729371,0.22205949107579,3.05329726736292,0.00226341600621281,0.0092997251076818
"Prupe.1G018600.v2.1",171.276273001609,1.22473444853717,0.374316479659372,3.27192233067505,0.00106818916721097,0.00495607508972423
"Prupe.1G018700.v2.1",108.551875750913,1.32333380217105,0.315697339404436,4.19178002788215,2.76774289280606e-05,0.000211364740446713
"Prupe.1G018900.v2.1",756.508124950923,-1.12504130685579,0.414510102052519,-2.71414689602245,0.00664466947768926,0.022506476156514
"Prupe.1G019800.v2.1",320.959507012221,-0.844651267600367,0.136947671344033,-6.16769353805569,6.92932752659079e-10,1.62325913354395e-08
"Prupe.1G019900.v2.1",4.32279859238502,2.99877366170159,1.07899806091261,2.77922062173611,0.00544895029542992,0.0190970788955705
"Prupe.1G020000.v2.1",117.22521300178,1.50737260598881,0.454766139387544,3.31461046774253,0.000917709108485853,0.00435370270857892
"Prupe.1G020100.v2.1",105.448664082416,3.46859136064104,0.415620059175028,8.3455821827414,7.08639212715924e-17,4.77720572710218e-15
"Prupe.1G020700.v2.1",224.889601230669,-0.40925502176406,0.116580054345939,-3.51050635599842,0.000447254115439961,0.00235221319455524
"Prupe.1G021000.v2.1",289.261682387413,1.11579145185212,0.153029292994819,7.29135860210696,3.06844822380808e-13,1.31448165444209e-11
"Prupe.1G021300.v2.1",483.108236471071,-0.479957833584145,0.168425294006623,-2.84967787299971,0.00437635275030822,0.015962256766516
"Prupe.1G021500.v2.1",50.2361017169092,-5.76622047503568,0.980924971957284,-5.87835016936115,4.14375631352861e-09,8.22820678877495e-08
"Prupe.1G021600.v2.1",1150.41338228738,-6.97855993095187,0.277608824875012,-25.1381055126538,1.90675165936093e-139,2.05023472172784e-135
"Prupe.1G021700.v2.1",289.461906563386,-7.5201138990355,0.478913473647574,-15.7024479636366,1.45516710415826e-55,1.20359109903551e-52
"Prupe.1G021800.v2.1",41.116055934139,-1.45282483777558,0.381106101399959,-3.81212694427813,0.000137776080983548,0.0008511561682135
"Prupe.1G022400.v2.1",913.501181410573,1.01515689803093,0.334994714216041,3.03036691312163,0.00244256808224815,0.00992394230280491
"Prupe.1G022500.v2.1",24.4354071511128,1.24627414079303,0.467969329574148,2.66315346334158,0.00774121005821095,0.025466532400463
"Prupe.1G023000.v2.1",1526.65890911463,-0.602208268687159,0.24808242614672,-2.42745235138503,0.0152052840385114,0.0444219037152816
"Prupe.1G023100.v2.1",15.4364511695316,1.9919941304898,0.738573091165981,2.69708462752826,0.00699494910466164,0.023449162976734
"Prupe.1G023200.v2.1",136.463403738602,0.867274479569845,0.359544014958368,2.41215106770799,0.0158587091043215,0.0459248306630615
"Prupe.1G023800.v2.1",2351.85571505206,-0.491755413261534,0.167742846966875,-2.93160287996449,0.00337217651934708,0.0129174663428142
