"","logFC","logCPM","F","PValue","FDR"
"Prupe.1G021600.v2.1",-6.98330083624637,6.64723422472131,672.482886830748,1.26666210933244e-12,3.40390108640907e-08
"Prupe.7G099700.v2.1",-4.03696705070999,6.45289365805139,560.399263588576,4.07299013470889e-12,5.4726731945016e-08
"Prupe.8G083400.v2.1",-4.42175404874721,6.45584746259158,517.894687927241,6.74170648716133e-12,6.03899594764955e-08
"Prupe.2G131900.v2.1",-2.26921630869858,8.0364744425237,416.76884933255,2.6877609894934e-11,1.8057050267664e-07
"Prupe.7G170100.v2.1",-3.79576076251056,7.85681194646513,388.010994294883,4.22956218348201e-11,2.27322049113424e-07
"Prupe.5G170800.v2.1",-2.60307557354712,6.96808158426315,366.454676071408,6.07301300536738e-11,2.55372903884133e-07
"Prupe.8G017400.v2.1",-3.36492686432872,6.30542192510195,360.474391728059,6.7387193195392e-11,2.55372903884133e-07
"Prupe.4G257500.v2.1",6.00822681615283,6.53878916680251,353.659318606509,7.60236382641708e-11,2.55372903884133e-07
"Prupe.2G139800.v2.1",-4.57509777938412,7.13650133278906,323.151498491758,1.34282442533031e-10,3.36402456363977e-07
"Prupe.3G172700.v2.1",3.95896666498747,2.9825647838379,322.609439658493,1.35709321026477e-10,3.36402456363977e-07
"Prupe.1G021700.v2.1",-7.50710501863066,4.6660054798221,321.863873391328,1.37700555204248e-10,3.36402456363977e-07
"Prupe.1G104900.v2.1",-5.9554222067876,9.67011274654561,309.584609769286,1.75875442491353e-10,3.93858397172511e-07
"Prupe.5G106000.v2.1",-1.46388211140057,6.32218049695382,270.374919792176,4.11085617613272e-10,8.23328424150966e-07
"Prupe.7G090700.v2.1",1.74031022452974,5.20142968740458,268.260790791036,4.31760733911663e-10,8.23328424150966e-07
"Prupe.2G125400.v2.1",8.36461882203546,2.23233677544757,265.594693896302,4.59566343998232e-10,8.23328424150966e-07
"Prupe.8G135700.v2.1",-3.43855086461722,4.08906173206812,251.187920596017,6.50836993329529e-10,9.67805954392631e-07
"Prupe.6G118800.v2.1",3.12476978242434,8.62748240169315,249.573656965552,6.77513843318795e-10,9.67805954392631e-07
"Prupe.7G087300.v2.1",-6.49740844156871,5.0435144097414,249.464408964663,6.79364332147053e-10,9.67805954392631e-07
"Prupe.3G221800.v2.1",2.26469117747414,5.47130828827965,247.763875836185,7.08933602950342e-10,9.67805954392631e-07
"Prupe.3G168100.v2.1",3.3767275424017,6.00784857986256,245.687130036292,7.47079315732169e-10,9.67805954392631e-07
"Prupe.7G087200.v2.1",-6.72335936498576,6.57618598247179,245.203698409606,7.56295353784291e-10,9.67805954392631e-07
"Prupe.3G016700.v2.1",2.49695675978492,7.01578580568212,242.00179370966,8.20754248453777e-10,1.00255131448629e-06
"Prupe.2G139000.v2.1",-5.2442557734379,7.98362531327733,233.992242877556,1.01173929553315e-09,1.18210739516792e-06
"Prupe.4G200500.v2.1",3.5403317697335,4.25739646862263,232.0829589993,1.06454181434794e-09,1.19197634070718e-06
"Prupe.6G047900.v2.1",-7.86090217590071,2.09593555045695,229.733022083202,1.13395130889429e-09,1.19722547806242e-06
"Prupe.1G531600.v2.1",-3.62269206108559,6.91460526137351,228.946686182197,1.15833224536236e-09,1.19722547806242e-06
"Prupe.6G336100.v2.1",-2.53687060576423,9.05421459114135,225.391125461296,1.27640216295931e-09,1.24204727503899e-06
"Prupe.2G240300.v2.1",-3.06222217136084,7.00048997397524,224.631541252909,1.30339145351015e-09,1.24204727503899e-06
"Prupe.4G098300.v2.1",3.11998248574787,4.38743244001428,223.620158837483,1.34035541160758e-09,1.24204727503899e-06
"Prupe.8G266600.v2.1",-1.55115308722454,6.77327444447593,219.977803356116,1.48386647020562e-09,1.32919812179452e-06
"Prupe.7G121500.v2.1",-6.02588006419569,3.87886427395273,217.643767741084,1.5851421140557e-09,1.37411367841996e-06
"Prupe.7G124800.v2.1",-1.29418481779832,6.05545405926477,201.075408665311,2.58459249302402e-09,2.17049231453233e-06
"Prupe.6G069900.v2.1",1.51462763652108,4.19136239292817,195.184589013788,3.1037264201603e-09,2.41736747272938e-06
"Prupe.8G070100.v2.1",-2.18311169987426,6.53389742075672,194.653114128093,3.15621066041107e-09,2.41736747272938e-06
"Prupe.5G113600.v2.1",-1.91305315545719,4.89310512540774,194.635920071044,3.1579256217343e-09,2.41736747272938e-06
"Prupe.5G124400.v2.1",-3.28668450003985,1.39147098537933,193.841088043145,3.23838905288794e-09,2.41736747272938e-06
"Prupe.1G529800.v2.1",4.34145277194723,3.54748158157488,191.582067793522,3.48030419213435e-09,2.52773552851963e-06
"Prupe.1G081700.v2.1",2.11232306977669,4.09058957359723,187.328080566741,3.99475278605964e-09,2.71570918505589e-06
"Prupe.1G430300.v2.1",-4.03526389871904,9.20505376920149,187.00078280535,4.03784125116508e-09,2.71570918505589e-06
"Prupe.1G556200.v2.1",1.47101250279602,6.82532129614826,186.967245623435,4.04228658513138e-09,2.71570918505589e-06
"Prupe.4G071500.v2.1",3.18991395809276,2.2599665660638,185.302118701107,4.27026392455474e-09,2.79889762059901e-06
"Prupe.7G149700.v2.1",3.23695111197373,6.18764955332925,182.876713594364,4.62939055940157e-09,2.96203839292377e-06
"Prupe.2G139400.v2.1",-3.95323427599161,6.36648040653691,180.215456822895,5.06417417381998e-09,3.16487331565266e-06
"Prupe.1G294900.v2.1",-2.72630492746288,3.82751291279032,174.894873728855,6.08266818085621e-09,3.64342904999132e-06
"Prupe.4G104900.v2.1",2.85041075162801,3.66742328959484,174.808369993518,6.10107941984927e-09,3.64342904999132e-06
"Prupe.3G272500.v2.1",-2.37704455214071,7.62332271271225,173.608437040656,6.3632153811881e-09,3.71736275953626e-06
"Prupe.8G195800.v2.1",-1.73914690532953,8.30199854803785,172.587602679298,6.5964888002513e-09,3.77164773466284e-06
"Prupe.6G089800.v2.1",1.72173810038159,4.79879777565458,171.088667968108,6.95711972503542e-09,3.89497246605994e-06
"Prupe.4G161200.v2.1",2.98348731327336,4.41094811083882,169.399435967079,7.39109360812163e-09,4.05348690879699e-06
"Prupe.5G011400.v2.1",1.82896170450519,10.6063882265871,164.793471268705,8.74229532593987e-09,4.69863404587965e-06
"Prupe.2G164100.v2.1",1.58223488574869,5.34157383396712,163.681327505738,9.10995681581815e-09,4.80023273551924e-06
"Prupe.1G519500.v2.1",6.21157688207545,2.69302305587726,162.941804699437,9.36430726780834e-09,4.83936594630411e-06
"Prupe.3G185000.v2.1",2.87481076526382,4.23039881955081,159.164095652108,1.07985874051797e-08,5.47529130829047e-06
"Prupe.1G248900.v2.1",-1.39139173681968,8.61512724216609,156.249334253651,1.2079827422304e-08,6.0115037466588e-06
"Prupe.1G538400.v2.1",-1.37082040354021,6.30188294007928,154.915684192254,1.27239639399211e-08,6.07950826367981e-06
"Prupe.5G161300.v2.1",2.91268040577897,3.01388912294128,154.651495206203,1.28562159470841e-08,6.07950826367981e-06
"Prupe.6G303100.v2.1",2.01293926401391,5.10409038521306,154.574271952703,1.2895172516271e-08,6.07950826367981e-06
"Prupe.7G221700.v2.1",1.9381490186699,4.63932553332418,151.707301861168,1.44426269978388e-08,6.66619858085041e-06
"Prupe.4G259800.v2.1",-4.22456863923802,6.06927110715641,151.374570755365,1.46357204729719e-08,6.66619858085041e-06
"Prupe.1G307400.v2.1",-4.16780378304263,2.55541704855279,150.441862234112,1.51930674214642e-08,6.80472168028347e-06
"Prupe.7G206900.v2.1",-2.42980244289269,3.21567106539664,149.60042422322,1.57169628568619e-08,6.87995047536953e-06
"Prupe.1G312600.v2.1",2.77179421444429,3.88479340810583,149.015952886429,1.60931349272034e-08,6.87995047536953e-06
"Prupe.2G196400.v2.1",6.98533905082233,0.796334891416396,148.769296761825,1.62549933844287e-08,6.87995047536953e-06
"Prupe.7G255400.v2.1",-2.58748935225965,10.6126980298227,148.573069566979,1.638510141866e-08,6.87995047536953e-06
"Prupe.4G101700.v2.1",-1.27699611277823,7.24567973851498,147.468054502443,1.71405960626923e-08,7.08644981527276e-06
"Prupe.1G376300.v2.1",-2.22237427935515,6.2486026995524,145.895868132008,1.82858113648481e-08,7.43103896259207e-06
"Prupe.7G158900.v2.1",2.94556063987016,4.74576149405652,145.579054327951,1.85271317118918e-08,7.43103896259207e-06
"Prupe.8G155800.v2.1",-1.40707407364514,5.06544557377701,143.404632944707,2.0286150569075e-08,8.01690770945223e-06
"Prupe.1G312700.v2.1",-2.85341426418393,4.06759432084025,141.866942101156,2.16466246195297e-08,8.2628471798534e-06
"Prupe.1G039900.v2.1",1.74081765230025,5.75761610207679,141.697125011545,2.18032231605243e-08,8.2628471798534e-06
"Prupe.1G373400.v2.1",-1.45757991274513,4.17577249340934,141.667243216705,2.18309139199044e-08,8.2628471798534e-06
"Prupe.1G111900.v2.1",-4.6455861058286,4.17764825940496,140.506695696105,2.29384130626049e-08,8.51694956374796e-06
"Prupe.2G277900.v2.1",2.74079124741621,4.29051415156408,140.253715723723,2.31883498809338e-08,8.51694956374796e-06
"Prupe.1G449500.v2.1",7.90795442938913,1.67511913370267,139.98918161651,2.34530669339988e-08,8.51694956374796e-06
"Prupe.8G101500.v2.1",3.33461243402828,6.93917996029563,139.092288689634,2.43768736862637e-08,8.73439635427952e-06
"Prupe.4G069100.v2.1",-1.30610747807169,6.40973387235668,138.304560964881,2.522298706005e-08,8.91864909558848e-06
"Prupe.2G074300.v2.1",-3.7852166822761,4.29560197660325,137.067081863207,2.66215364930355e-08,9.29091623606938e-06
"Prupe.1G329000.v2.1",4.12448911192835,5.11656997043722,136.472369805277,2.73253441812916e-08,9.30772440670132e-06
