"","logFC","logCPM","F","PValue","FDR"
"Prupe.7G124300.v2.1",6.31893259824162,4.59579440135942,639.524111116257,1.74841735395028e-12,3.00365272893123e-08
"Prupe.1G433200.v2.1",-8.86783807103054,3.77173668540716,615.467635316332,2.23544280797174e-12,3.00365272893123e-08
"Prupe.3G025400.v2.1",8.78405867110314,5.80926619403299,544.322773816181,4.90590522272687e-12,3.39075669352877e-08
"Prupe.8G046600.v2.1",-9.31481386928398,3.09193349152416,532.678450371984,5.63272770439815e-12,3.39075669352877e-08
"Prupe.8G171100.v2.1",6.28332318822797,4.29714764888901,502.105949351659,8.21425340311596e-12,3.39075669352877e-08
"Prupe.6G027400.v2.1",8.33886905406812,4.50282462485781,501.006485831394,8.3299133516002e-12,3.39075669352877e-08
"Prupe.1G525300.v2.1",-6.43287054584827,3.85738221960024,496.42617845588,8.83239565910073e-12,3.39075669352877e-08
"Prupe.6G275700.v2.1",6.21744206624071,4.09263270485706,449.640929066873,1.65912048779143e-11,5.57319310855237e-08
"Prupe.5G133600.v2.1",-7.08455662059467,3.26061662516637,433.937496256341,2.07987607276002e-11,6.21027885592e-08
"Prupe.1G300200.v2.1",9.95482714793477,4.16496399960204,413.665445695204,2.8183418566709e-11,7.05976134765486e-08
"Prupe.3G157600.v2.1",-9.15949741622211,6.46545255714873,410.850550034074,2.94314472022153e-11,7.05976134765486e-08
"Prupe.8G148400.v2.1",5.18984704366574,4.48858067029582,406.424496387245,3.15250013663745e-11,7.05976134765486e-08
"Prupe.8G046500.v2.1",-8.90049862249349,6.44606347484099,379.809220839851,4.8422995035725e-11,9.58776683277243e-08
"Prupe.3G243000.v2.1",7.94500632518291,3.4291077647348,376.963403097241,5.0783935513907e-11,9.58776683277243e-08
"Prupe.8G171900.v2.1",6.20512061352064,5.15624641240294,373.85359174125,5.35170998740693e-11,9.58776683277243e-08
"Prupe.5G019300.v2.1",8.12956487393922,5.44395561113746,365.341010139182,6.19101948804948e-11,1.03982041688971e-07
"Prupe.6G069900.v2.1",2.06011988487383,4.19136239292817,351.495956103558,7.90273603492141e-11,1.24363248333067e-07
"Prupe.1G227900.v2.1",-6.9150506593258,3.36553375324214,348.576368956173,8.33006538159198e-11,1.24363248333067e-07
"Prupe.1G100100.v2.1",6.85394739350805,2.08516649215898,345.396716009434,8.8260857044132e-11,1.24833369018261e-07
"Prupe.7G006000.v2.1",-7.89944325415003,2.8181943580865,338.600895099425,1.00049192503575e-10,1.34431097507428e-07
"Prupe.4G004000.v2.1",-5.24881911496184,3.46093546494242,313.947424800298,1.61060925776215e-10,1.90939112305167e-07
"Prupe.1G016600.v2.1",5.34409280141491,3.76985692022408,312.142980296158,1.67006513359312e-10,1.90939112305167e-07
"Prupe.3G024700.v2.1",6.29036772850265,3.61817401259364,311.309357268479,1.69838489415984e-10,1.90939112305167e-07
