gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G000100.v2.1	149	325	420	261	331	375	169	291	291	78	287	155
Prupe.1G000200.v2.1	1	7	3	1	6	9	2	7	7	2	3	3
Prupe.1G000300.v2.1	324	583	654	436	528	682	361	475	384	167	402	362
Prupe.1G000400.v2.1	506	1056	2030	1749	1795	1577	670	1027	1660	389	1677	1523
Prupe.1G000500.v2.1	394	335	386	1040	755	703	157	285	391	80	253	357
Prupe.1G000600.v2.1	434	678	632	625	640	800	442	690	557	388	632	652
Prupe.1G000700.v2.1	788	1364	1387	1039	1282	1666	884	1004	827	536	706	771
Prupe.1G000800.v2.1	421	641	694	601	594	797	464	690	617	299	491	558
Prupe.1G000900.v2.1	0	1	2	2	4	1	3	1	0	1	2	1
Prupe.1G001000.v2.1	895	1780	2075	1365	1758	2085	1062	1441	1394	495	1423	1392
Prupe.1G001100.v2.1	312	622	490	495	615	731	285	567	357	194	561	720
Prupe.1G001200.v2.1	637	1130	1141	910	1118	1215	654	990	946	634	1173	1112
Prupe.1G001300.v2.1	963	1288	1353	1395	1524	1584	1087	1229	1308	1194	1394	1563
Prupe.1G001400.v2.1	3	0	0	0	0	3	1	1	1	0	423	646
Prupe.1G001500.v2.1	0	1	0	0	0	1	0	0	0	1	0	0
Prupe.1G001600.v2.1	17	32	29	16	29	30	11	15	27	4	10	23
Prupe.1G001700.v2.1	9	10	25	4	5	12	5	3	1	0	6	7
Prupe.1G001800.v2.1	169	410	449	144	198	291	275	353	282	98	159	132
Prupe.1G001900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G002000.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G002100.v2.1	204	402	333	364	380	481	160	252	221	110	273	341
Prupe.1G002200.v2.1	15	24	24	9	15	18	10	9	4	8	6	13
Prupe.1G002300.v2.1	294	464	516	338	331	504	312	364	305	167	245	221
Prupe.1G002400.v2.1	312	408	488	314	338	416	253	361	271	136	227	219
Prupe.1G002500.v2.1	863	1516	2500	901	984	580	2119	1720	3382	1307	1581	1656
Prupe.1G002600.v2.1	12	98	99	17	61	86	61	98	108	15	74	118
Prupe.1G002700.v2.1	378	655	675	424	496	643	353	527	407	160	526	601
Prupe.1G002800.v2.1	724	873	970	1377	1293	1434	874	806	858	952	1349	1144
Prupe.1G002900.v2.1	442	661	415	919	928	1133	650	386	194	413	1364	1618
Prupe.1G003000.v2.1	512	870	464	1020	1046	1227	550	217	119	546	250	425
Prupe.1G003100.v2.1	1819	2275	1956	1849	1733	2215	1396	1362	1268	414	733	874
Prupe.1G003200.v2.1	613	820	819	604	740	818	642	825	608	438	751	622
Prupe.1G003300.v2.1	1878	3453	3385	1842	2458	2512	1867	2654	2383	2206	3587	3807
Prupe.1G003400.v2.1	5	17	14	9	11	23	1	7	7	1	10	9
Prupe.1G003500.v2.1	16	14	22	44	68	37	2	6	10	3	0	3
Prupe.1G003600.v2.1	80	173	176	280	494	415	131	245	180	73	190	207
Prupe.1G003700.v2.1	2	0	0	0	0	0	1	0	0	0	0	1
Prupe.1G003800.v2.1	1	1	0	1	0	0	1	2	1	1	2	0
Prupe.1G003900.v2.1	197	374	432	289	383	429	183	296	211	134	246	249
Prupe.1G004000.v2.1	174	231	266	133	152	164	137	156	123	63	72	117
Prupe.1G004100.v2.1	9	21	11	33	40	51	3	3	0	2	5	5
Prupe.1G004200.v2.1	6	24	18	29	27	36	7	15	14	2	19	17
Prupe.1G004300.v2.1	3	1	1	1	1	1	0	0	0	0	2	6
Prupe.1G004400.v2.1	874	848	934	844	820	852	595	798	701	630	590	560
Prupe.1G004500.v2.1	750	1056	1131	797	850	917	824	843	797	654	894	872
Prupe.1G004600.v2.1	34	46	59	32	28	41	42	28	29	13	19	13
Prupe.1G004700.v2.1	574	906	1333	675	915	935	661	922	1110	572	1333	1088
Prupe.1G004800.v2.1	2361	2455	2642	1109	1060	1314	2577	3033	3001	941	1230	1303
Prupe.1G004900.v2.1	75	105	66	130	127	133	140	146	113	202	169	185
Prupe.1G005000.v2.1	825	1660	1756	1220	1731	1989	939	1771	1402	778	1735	1991
Prupe.1G005100.v2.1	27	56	60	44	67	67	37	34	42	26	46	50
Prupe.1G005200.v2.1	0	1	1	3	0	3	1	1	1	1	0	0
Prupe.1G005300.v2.1	59	58	74	39	44	61	37	45	48	19	27	41
Prupe.1G005400.v2.1	46	46	37	59	66	67	29	32	14	212	105	103
Prupe.1G005500.v2.1	0	2	0	0	2	2	1	1	0	1	3	3
Prupe.1G005600.v2.1	480	968	972	561	483	566	486	988	925	28	231	420
Prupe.1G005700.v2.1	469	712	830	741	819	821	457	691	660	420	678	715
Prupe.1G005800.v2.1	145	75	76	67	48	47	73	50	55	45	19	44
Prupe.1G005900.v2.1	10	35	50	9	12	42	20	32	21	6	9	12
Prupe.1G006000.v2.1	52	72	71	53	64	71	51	39	39	23	22	26
Prupe.1G006100.v2.1	181	462	479	224	269	328	222	284	269	132	276	260
Prupe.1G006200.v2.1	0	1	0	0	0	1	0	0	0	0	0	0
